STARTOFEVENT,20/11/2025 21:07:12,virtual_volunteer_ios_2.3.0_85
0,20/11/2025 21:27:12
1,20/11/2025 21:27:13,00:00:01
2,20/11/2025 21:27:15,00:00:03
3,20/11/2025 21:27:18,00:00:06
4,20/11/2025 21:27:20,00:00:08
5,20/11/2025 21:27:22,00:00:10
6,20/11/2025 21:27:24,00:00:12
7,20/11/2025 21:27:26,00:00:14
8,20/11/2025 21:27:29,00:00:16
9,20/11/2025 21:27:31,00:00:19
10,20/11/2025 21:27:33,00:00:21
11,20/11/2025 21:27:35,00:00:23
12,20/11/2025 21:27:37,00:00:25
13,20/11/2025 21:27:39,00:00:27
14,20/11/2025 21:27:41,00:00:29
15,20/11/2025 21:27:44,00:00:32
16,20/11/2025 21:27:46,00:00:34
17,20/11/2025 21:27:48,00:00:36
18,20/11/2025 21:27:50,00:00:38
19,20/11/2025 21:27:52,00:00:40
20,20/11/2025 21:27:54,00:00:42
21,20/11/2025 21:27:56,00:00:44
22,20/11/2025 21:27:58,00:00:46
23,20/11/2025 21:28:00,00:00:48
24,20/11/2025 21:28:03,00:00:51
25,20/11/2025 21:28:05,00:00:53
26,20/11/2025 21:28:07,00:00:55
27,20/11/2025 21:28:09,00:00:57
28,20/11/2025 21:28:11,00:00:59
29,20/11/2025 21:28:13,00:01:01
30,20/11/2025 21:28:15,00:01:03
31,20/11/2025 21:28:17,00:01:05
32,20/11/2025 21:28:20,00:01:08
33,20/11/2025 21:28:22,00:01:10
34,20/11/2025 21:28:24,00:01:12
35,20/11/2025 21:28:26,00:01:14
36,20/11/2025 21:28:28,00:01:16
37,20/11/2025 21:28:30,00:01:18
38,20/11/2025 21:28:32,00:01:20
39,20/11/2025 21:28:35,00:01:23
40,20/11/2025 21:28:37,00:01:25
41,20/11/2025 21:28:39,00:01:27
42,20/11/2025 21:28:41,00:01:29
43,20/11/2025 21:28:43,00:01:31
44,20/11/2025 21:28:45,00:01:33
45,20/11/2025 21:28:48,00:01:36
46,20/11/2025 21:28:50,00:01:38
47,20/11/2025 21:28:52,00:01:40
48,20/11/2025 21:28:54,00:01:42
49,20/11/2025 21:28:56,00:01:44
50,20/11/2025 21:28:59,00:01:47
ENDOFEVENT,20/11/2025 21:29:00
